Id,SalePrice
2658,114208.41941990517
2718,149543.6342614525
2414,172299.18806306017
1989,124246.09038285393
625,170582.05392445816
333,115521.68780505186
1327,148335.07931898825
858,151564.36910668976
95,201876.0394941609
1568,153463.94081573476
2482,169580.04638114377
1364,126875.80359721699
2584,138460.84012922316
818,263786.27897797606
2673,163937.54199382174
2089,158736.50305513482
1297,138115.54074690788
790,128715.06584036455
2616,182225.35065242293
720,175373.3853442983
222,151039.9479656376
557,114754.62928424968
1148,225875.37714151625
2766,128963.75892290717
534,175232.24074098043
1452,115020.86132557748
630,152855.57889579056
2648,132974.5708410819
125,134248.058596228
1904,80406.67095910298
1670,118663.92246561398
756,99580.84913152349
717,266721.3377714162
1032,173656.0643835556
852,214872.08973567528
1731,165698.83694966545
2639,112282.11156558708
2071,104755.00419528689
1267,94962.22962586168
1851,203891.15395224816
567,142240.70575217885
2439,214207.87564755094
1898,177478.60566730343
647,152613.31078860056
2256,234423.61071552284
979,160094.64306716633
1444,225722.5736892572
2485,119815.84680107649
157,138374.93378821845
88,127674.1581688099
2003,113953.25810888154
186,192743.90127603625
1425,251696.34205743205
2695,154809.28652645153
738,99901.60657793167
395,157308.0710976242
1353,146815.8935860623
1878,145960.75417937033
390,150206.76741770076
1456,244580.68969591788
1103,310860.8938253444
1387,122919.38034773312
2070,156180.66508954202
1199,156087.13851309623
2479,174731.29785454966
501,311411.89625333366
2362,103556.98885639463
1718,195493.873589674
2188,109664.1739433821
1483,120294.47903136269
2557,87011.74880110036
437,364366.07569410605
2224,147523.70147917053
1628,143043.88999324208
397,136598.68860445824
587,184045.2413483781
971,170216.81883243454
2611,145243.37766500897
1887,96419.08783908951
2399,345223.81346015347
2148,207857.91124967887
304,105491.31807499519
1997,162336.51143589444
2817,118555.93844356522
1431,186412.55688961933
427,375339.377394139
263,119462.07253455385
598,163131.7697752964
2895,257425.49207020467
687,150982.94041841413
1822,148975.38199552326
2191,125333.32208032403
179,144994.57134683116
1009,209554.58649738348
2010,145482.23068068267
1991,128526.13547489225
1411,148788.51595102318
1721,236389.98132175748
1144,200881.31898214013
593,206345.45194064968
575,307102.48203101294
1249,155052.62366015132
1604,128839.43972528027
1064,461528.65065831755
1923,140435.09718579057
1988,108325.5978521342
2325,169387.09523111593
114,191575.14180598635
2700,145667.89475570072
217,138072.67243525805
343,165062.64403245662
386,239474.46316894284
2005,146594.10659974473
2908,134278.7392952895
1814,232974.19201272517
2446,499583.97656929755
208,141889.40016799545
1679,127109.3259619743
822,337070.8482289399
6,183082.56138187536
1781,404065.90940628725
2397,271770.62736114836
2340,306713.0576098248
1618,169269.2479993855
2843,118118.34976206528
1061,384288.3299972117
2786,114111.78067901949
1935,153378.52233427286
1341,118006.36422160282
521,263472.75101794815
2136,137775.8325966383
996,189616.02944503113
227,135294.11180914732
135,165562.61935119424
1167,173362.0774008605
294,242634.9563033079
1776,203502.9399781719
540,164520.17828687307
1717,195493.873589674
2303,120878.8097560643
116,191196.5664833379
127,142742.5279119067
1371,131043.22775325907
1014,138834.98864464776
1507,122199.77054964364
702,145754.03268946437
750,140610.2823716516
261,133212.23199558776
1559,82872.77906095271
577,218821.03460234264
2812,207217.84596486582
2080,149868.14825953863
1368,125868.74578285177
2376,118695.49408814503
659,90544.52327035018
1235,128977.64819640096
332,105167.1654693789
1917,138796.665472991
2094,277206.518215319
1460,285594.0861862835
1471,208629.29123559422
1509,139130.28903632768
1922,154234.22172059258
433,510832.02841409127
460,249299.75296980474
1116,217704.8422617567
1137,170468.59824431103
53,170512.92175561326
2354,273713.95883798355
1475,203719.60265077613
1761,580969.3842591385
842,148732.01942049718
2739,147226.13796107168
2509,136392.1016238547
1007,203891.12713826977
2610,170882.22631472826
1952,74493.38689629262
2719,123292.78016383617
2921,116926.3867781199
1966,139484.67958833044
292,118561.28847533837
1204,167496.86224756512
1829,269265.1638418151
2419,174545.72343684317
391,156284.64175297774
798,112318.72145331657
481,179323.80757554533
193,215395.6004456982
555,124290.0141104116
899,96262.46241864562
2357,164518.894112298
328,125770.62092130756
1356,105561.83114702505
1154,115482.79261566824
1730,170574.25348256802
2249,128939.18052280601
1119,257823.27583384168
2856,129355.95270158601
1394,147202.89004951643
2587,125486.16574526459
61,337287.90790582035
2661,203424.68810903025
2711,122050.31831389456
1147,186725.96390200086
757,140987.70323931746
2623,103234.89244970353
2378,153554.00269559174
1413,141633.48637264204
1722,211165.6767756543
1112,223155.6141960382
1623,197405.59100067103
1201,188952.5043891313
1513,153441.7833896197
957,231842.009367587
1171,277940.89257279155
1145,201521.14720741735
2726,190369.80500269693
703,138687.37239318842
760,85139.16298975877
1964,154932.66116398014
2512,169616.92529012493
159,138522.35384843248
1281,151865.74104308608
468,166506.24123403992
290,109650.77574541711
665,105809.9653290679
1463,282979.8284797231
1792,234001.70853560913
923,122769.92029257864
500,280391.5163405477
1408,163360.99790395246
331,87296.07054327658
170,88945.25550825987
2192,106610.89102922508
2571,348700.50315633416
2314,166948.90717197995
2647,102277.83906047128
422,448942.33982576017
2457,363956.1411022159
1838,205630.75220114674
2805,251027.0651320114
1645,173057.18650229063
1711,302267.9720305649
2825,267694.9917620271
322,334136.8801542894
2103,254545.88845666527
342,109787.88637614256
600,114152.67644083439
488,196139.2602644685
1725,308914.71503025264
2246,274297.2402981342
2847,162352.0146377069
806,244707.33888122346
530,240259.29725194268
963,196258.18400028837
2678,81386.20715786124
